Name of the video,Link of the playlist
Slavic Girl Meets Georgian Man,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK"
Foreigner speaking Hindi And Making Friends In India,
Would You Ride Africa&#39;s Worst Train? | 18 Hours In A Freight Truck,https://www.youtube.com/playlist?list=PLqWdYjn21PdFoKJdCz3Lu16MF_tN_4UFI
India Cobra Safari,
India&#39;s Women Only Market | 🚷 Men Not Allowed,
The JAPAN You Never Knew Existed 🇯🇵,
Entering A Mysterious Exclave You&#39;ve Never Heard Of  ( In A Soviet Bi-plane ),https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Back To The USSR | Lost In The Belarus Provinces 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
India&#39;s Toughest Street Gang,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
🇲🇲 The Road To Mandalay | Burma Travels,https://www.youtube.com/playlist?list=PLqWdYjn21PdFDilN4sTgxR67eHHR73uye
Avoiding Religious Scammers And Touts In Varanasi 🕉,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
India $1 Gym Workout 🇮🇳,
Is Your Country This Crazy? | UFC On The Street 🇮🇳,
Leaving Kyiv On A Refugee Train 🇺🇦,"https://www.youtube.com/playlist?list=PLqWdYjn21PdG4jNdzYjhe6N1bVA6CPWH8, https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6"
On The Run From The Indian Police 👨🏾‍✈️,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Vietnam: The Nation That Would Not Submit 🇻🇳,
Funny India - Pakistan Border Ceremony 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Royal Enfield Rajasthan Fort Hunt,
Alone In The Chernobyl Forest 🇧🇾,
I Give An Indian Man 🍆 Advice  // Full Interview,
🇮🇳 $2 Indian Street Massage | Pain or Pleasure?,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
This Video Caused An International Incident! ( Spaceship Discovery ),https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
Exploring An Abandoned Indian Monastery,
The Amazon&#39;s Mysterious Chinese Village 🇵🇪,
Could You Pass The Russian Gopnik Test?!,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
Is This India?! First Time In North East 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Wild Welcome In Jodhpur ( India ),
Solo Through Romania&#39;s Dark Past 🇷🇴,
Avoid this Soviet Exclave!,https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
I Found A Soviet Goblin! ( Jump Scare Warning! ),https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6
The Journey Is Over 🇷🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
Crossing The India-Burma Border On Foot | Welcome To Squiggle Town,"https://www.youtube.com/playlist?list=PLqWdYjn21PdFDilN4sTgxR67eHHR73uye, https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv"
This Country Was Ready For War! 🇦🇱,https://www.youtube.com/playlist?list=PLqWdYjn21PdGZd1ZKgx6UwOSVGFkbJk_J
Tuvan Throat Singing,https://www.youtube.com/playlist?list=PLqWdYjn21PdGWl9HXgZKiTXH8BfF1nD_n
The Amazon&#39;s Weirdest Village 🇵🇪,
The Cuba They Don&#39;t Want You To See 🇨🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdH-1LtsdiGSbuFMI7pbGnQ2
This Is Britain! 🇬🇧 ( Nation of Madlads ),
I Almost Died In India //Terrifying Fairground Ride,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Foreigners Ride A Local Indian Bus!,
🇧🇾 Goodbye Belarus,https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9
The Syria The Media Won&#39;t Show You 🇸🇾,
India&#39;s Russian Beach | Arambol 🇷🇺,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Solo On Bogota&#39;s Dirtiest Street 🇨🇴,
Hitching Through Sinaloa | Mexico&#39;s Narco State 🇲🇽,https://www.youtube.com/playlist?list=PLqWdYjn21PdEk7GGalF0JYuA4_RYgUZrQ
Belarus Girl Invites Me for Lunch...I Have To Pay! 🇧🇾,"https://www.youtube.com/playlist?list=PLqWdYjn21PdH_SfBbtj7YBrpbTP-0BMa6, https://www.youtube.com/playlist?list=PLqWdYjn21PdHRvHB7NrwlXBeHE44AW-R9"
You Won&#39;t Believe What Indians Are Reading! | India&#39;s Largest Second Hand Book Market 🇮🇳,
Narendra Modi Why Won&#39;t You Help These Hindus?!,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Mumbai Islamic Market Hunt 🕋,
Tourists Don&#39;t Cross This Border ( Find Out Why )🇱🇦,
Solo In India&#39;s Biggest Slum | Dharavi Mumbai,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Mumbai Antique Market Hunt // Chor Bazaar,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Visiting South America&#39;s Troubled Nation 🇵🇪,
I Found Europe&#39;s Strangest Town!,https://www.youtube.com/playlist?list=PLqWdYjn21PdFx8L_azM0_mcIHKGxDQEoK
Bombay Bhabhi Market Hunt 🍆,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Visiting The World&#39;s Most Dangerous Country 🇦🇫,
Could You Handle This Traffic? | Delhi&#39;s Craziest Junction 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
This Is Mongolia! 🇲🇳 ( Asia’s Nation Of Madlads ),
Nobody Visits This Country Anymore ( Find Out Why ) 🇻🇪,
Goa Beach Hotel Hunt India,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Foreigner Gives 3 Lakhs to Pakistani Refugees In Delhi!!! 🇮🇳,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
Indian Woman Rejects Foreigner!,
Foreigner Drives Rickshaw In Delhi 🚕,
Bhabhi Porn Market Of Delhi 🔞,https://www.youtube.com/playlist?list=PLqWdYjn21PdEm6yy0OaSDh6GHSa1y3gUv
